,id,dataset,image_file,reference
0,SSA006_OD_Scan2_4,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA006_OD_Scan2_4.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
1,SSA005_OS_Scan2_6,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA005_OS_Scan2_6.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
2,SSA002_OD_Scan2_9,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA002_OD_Scan2_9.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
3,SSA005_OD_Scan2_8,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA005_OD_Scan2_8.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
4,SSA007_OS_Scan2_10,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA007_OS_Scan2_10.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
5,SSA007_OS_Scan2_5,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA007_OS_Scan2_5.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
6,SSA002_OS_Scan3_11,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA002_OS_Scan3_11.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
7,SSA002_OS_Scan3_4,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA002_OS_Scan3_4.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
8,SSA007_OD_Scan2_2,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA007_OD_Scan2_2.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
9,SSA005_OS_Scan2_5,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA005_OS_Scan2_5.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
10,SSA004_OD_Scan3_8,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA004_OD_Scan3_8.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
11,SSA003_OD_Scan3_2,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA003_OD_Scan3_2.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
12,SSA002_OD_Scan2_11,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA002_OD_Scan2_11.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
13,SSA006_OD_Scan2_6,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA006_OD_Scan2_6.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
14,SSA004_OS_Scan4_1,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA004_OS_Scan4_1.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
15,SSA004_OS_Scan3_5,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA004_OS_Scan3_5.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
16,SSA005_OS_Scan2_3,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA005_OS_Scan2_3.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
17,SSA005_OD_Scan2_6,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA005_OD_Scan2_6.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
18,SSA007_OS_Scan2_6,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA007_OS_Scan2_6.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
19,SSA005_OD_Scan2_1,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA005_OD_Scan2_1.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
20,SSA006_OS_Scan2_9,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA006_OS_Scan2_9.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
21,SSA004_OS_Scan4_5,oct,/home/ipilab/simplemind-applications/oct_quick_start/AveragedImages/SSA004_OS_Scan4_5.jpegout_0000.nii.gz,/home/ipilab/simplemind-applications/oct_quick_start/segmentations
